UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,M10000,L,298.29,308.66,2012,38.63,73,0,No Failure
2,H10001,L,299.29,307.33,1676,48.33,142,0,No Failure
3,L10002,L,298.62,308.52,1723,55.04,34,0,No Failure
4,L10003,L,298.27,309.1,1451,58.32,87,0,No Failure
5,M10004,M,297.54,305.72,1805,56.74,13,0,No Failure
6,H10005,H,298.88,310.39,1503,27.47,95,0,No Failure
7,H10006,M,297.63,307.71,1777,57.28,29,0,No Failure
8,M10007,H,300.35,308.47,1370,22.64,140,0,No Failure
9,M10008,L,300.78,309.68,1359,29.01,160,0,No Failure
10,M10009,L,297.3,309.12,1617,48.03,247,1,Tool Wear Failure
11,L10010,L,299.75,310.08,1627,25.16,49,0,No Failure
12,M10011,H,298.17,306.6,1468,47.15,52,0,No Failure
13,L10012,M,298.41,307.56,1332,33.86,237,1,Tool Wear Failure
14,H10013,M,300.55,310.38,1239,39.33,216,1,Tool Wear Failure
15,L10014,L,295.43,303.51,1225,34.18,154,0,No Failure
16,M10015,L,295.52,305.17,1472,23.16,210,1,Tool Wear Failure
17,L10016,M,295.12,305.08,1662,42.53,52,0,No Failure
18,H10017,H,300,308.97,1926,63.36,219,1,Tool Wear Failure
19,M10018,H,299.67,310.02,1675,47.53,217,1,Tool Wear Failure
20,M10019,H,300.22,311.23,2104,33.5,62,1,Power Failure
21,H10020,H,300.87,309.82,1235,63.03,127,1,Overstrain Failure
22,M10021,M,299.79,310.28,1381,37.52,232,1,Tool Wear Failure
23,L10022,L,297.77,308.33,1539,51.39,170,0,No Failure
24,L10023,H,299.68,311.48,1777,48.54,165,0,No Failure
25,H10024,L,295.71,306.82,2053,62.88,140,0,No Failure
26,M10025,L,298.84,310.23,1550,61.16,67,1,Power Failure
27,L10026,L,295.86,305.82,1468,26.66,245,1,Tool Wear Failure
28,M10027,H,300.67,309.41,1262,23.86,112,0,No Failure
29,H10028,M,298.13,310.11,2021,56.43,78,0,No Failure
30,M10029,M,297.49,306.01,1580,60.72,182,1,Power Failure
31,M10030,H,296.59,306.47,1772,42.18,152,0,No Failure
32,H10031,L,299.65,307.92,2184,51.08,86,1,Power Failure
33,L10032,L,297.74,309.51,1202,23.14,76,0,No Failure
34,L10033,M,298.41,310.27,1345,29.89,54,0,No Failure
35,M10034,H,295.11,305.99,1979,26.72,20,0,No Failure
36,L10035,L,298.71,308.11,2005,47.05,156,1,Power Failure
37,L10036,L,298.67,307.69,1969,28.89,126,0,No Failure
38,H10037,M,298.7,307.76,1737,22.69,59,0,No Failure
39,H10038,H,300.66,309.17,2179,33.6,14,0,No Failure
40,H10039,L,299.09,309.19,1596,50.47,5,0,No Failure
41,M10040,H,297.16,305.72,1802,46,185,0,No Failure
42,H10041,M,297.62,306.89,1263,34.88,47,0,No Failure
43,L10042,M,299.19,309.69,1610,57.51,67,0,No Failure
44,H10043,H,295.36,306.27,1923,32.43,4,0,No Failure
45,L10044,H,299,307.1,1439,31.72,38,0,No Failure
46,H10045,M,299.02,308.74,2144,45.2,219,1,Tool Wear Failure
47,M10046,M,296.26,306.87,1887,41.52,61,0,No Failure
48,L10047,M,295.77,307.19,1488,40.07,238,1,Tool Wear Failure
49,M10048,M,296.89,306.79,1969,27.01,41,0,No Failure
50,L10049,M,297.18,309.06,1283,42.71,63,0,No Failure
51,H10050,L,298.42,307.48,2175,31.66,217,1,Tool Wear Failure
52,M10051,L,297.63,305.69,1249,37.65,107,0,No Failure
53,L10052,L,300.93,310.87,2133,53.01,67,1,Power Failure
54,M10053,H,295.61,304.64,1453,62.16,173,1,Power Failure
55,L10054,M,296.25,307.55,1958,54.82,13,0,No Failure
56,L10055,H,295.97,304.9,1200,38.25,223,1,Tool Wear Failure
57,M10056,L,298.92,308.16,1454,46.69,210,1,Tool Wear Failure
58,L10057,H,296.52,307.68,1949,53.59,21,0,No Failure
59,M10058,H,297.8,308.66,1732,38.64,200,0,No Failure
60,M10059,M,296.47,306.7,1315,36.21,240,1,Tool Wear Failure
61,M10060,M,295.95,306.77,1594,26.09,123,0,No Failure
62,M10061,L,295.66,305.34,1576,53.13,142,0,No Failure
63,H10062,M,298.94,306.96,1768,57.73,170,0,No Failure
64,M10063,H,295.83,303.87,1868,34.25,67,0,No Failure
65,M10064,L,296.18,306.22,2041,55.26,162,0,No Failure
66,L10065,H,297.21,305.55,1697,47.46,119,0,No Failure
67,M10066,M,299.93,308.13,1592,55.28,101,0,No Failure
68,L10067,M,295.58,307.44,1344,38.51,226,1,Tool Wear Failure
69,M10068,H,300.03,311.46,2005,53.64,199,0,No Failure
70,H10069,M,295.58,304.18,1913,38.38,234,1,Tool Wear Failure
71,L10070,L,300.86,308.86,1609,23.99,209,1,Tool Wear Failure
72,L10071,M,297.81,309.58,1718,44.78,10,0,No Failure
73,H10072,L,300.86,309.97,1865,40.44,152,0,No Failure
74,M10073,H,298.63,307.37,1365,31.38,174,0,No Failure
75,H10074,L,299.44,310.2,1227,60.15,166,1,Overstrain Failure
76,H10075,L,295.24,303.67,1518,37.23,68,0,No Failure
77,H10076,L,296.7,305.76,1796,21.76,106,0,No Failure
78,L10077,L,295.72,307.62,1687,37.2,10,0,No Failure
79,H10078,M,296.78,307.33,1893,39.1,24,0,No Failure
80,L10079,M,295.71,305.8,2020,58.77,140,0,No Failure
81,M10080,L,296.91,306.5,1688,55.96,146,0,No Failure
82,M10081,L,297.49,308.58,1334,29,50,0,No Failure
83,M10082,H,295.38,303.95,2051,57.76,112,0,No Failure
84,L10083,M,299.15,311.02,1775,31.16,118,0,No Failure
85,H10084,M,298.4,309.84,1940,35.39,3,0,No Failure
86,L10085,M,296.59,307.06,1905,23.46,36,0,No Failure
87,M10086,H,298.14,306.31,2168,22.49,156,1,Power Failure
88,H10087,M,295.56,306.37,1495,50.64,248,1,Tool Wear Failure
89,L10088,H,298.46,310.11,1905,61.55,163,1,Power Failure
90,H10089,L,300.58,310.67,1566,42.19,30,0,No Failure
91,H10090,L,296.91,306.33,1595,57.98,205,1,Tool Wear Failure
92,H10091,H,299,307.49,1431,55.72,108,0,No Failure
93,L10092,L,295.79,306.81,1544,49.91,21,0,No Failure
94,H10093,M,299.3,310.84,2148,64.02,150,1,Power Failure
95,M10094,L,296.74,305.14,1493,56.1,57,0,No Failure
96,L10095,L,296.1,307.14,1446,32.37,104,0,No Failure
97,L10096,M,298.52,306.59,1783,55.51,80,0,No Failure
98,M10097,L,295.12,306.99,1458,51.17,161,0,No Failure
99,M10098,H,299.97,310.43,1673,37.98,108,0,No Failure
100,L10099,M,295.03,305.24,2034,23.46,26,0,No Failure
101,H10100,L,299.07,308.25,1430,29.65,54,0,No Failure
102,M10101,M,296.62,308.34,1627,55.88,125,0,No Failure
103,M10102,M,299.41,308.47,1810,31.18,197,0,No Failure
104,M10103,H,300.77,312.09,1746,64.9,2,0,No Failure
105,H10104,H,296.49,308.43,2175,51.23,153,0,No Failure
106,H10105,L,298.46,309.59,1880,41.48,29,0,No Failure
107,L10106,M,298.55,308.63,1940,45.67,151,0,No Failure
108,H10107,L,298.43,306.7,2167,47.49,209,1,Tool Wear Failure
109,L10108,M,296.34,306.23,1614,63.6,57,0,No Failure
110,L10109,H,300.72,310.47,1555,27.28,124,1,Overstrain Failure
111,M10110,L,297.68,306.49,1244,32.26,194,0,No Failure
112,L10111,L,300.08,309.77,1384,51.93,44,0,No Failure
113,L10112,M,299.2,308.63,1437,30.79,38,0,No Failure
114,M10113,H,296.78,305.44,1384,59.21,226,1,Overstrain Failure
115,L10114,H,299.88,309.65,1955,35.59,174,0,No Failure
116,L10115,H,297.38,306.43,1736,28.14,184,0,No Failure
117,H10116,H,300.29,310.37,1868,22.14,211,1,Tool Wear Failure
118,L10117,H,298.49,306.63,2020,46.8,135,0,No Failure
119,H10118,M,300.29,311.92,1431,57.14,122,0,No Failure
120,L10119,M,299.16,310.42,1526,32.32,139,0,No Failure
121,M10120,H,299.35,309.56,1908,61.29,179,0,No Failure
122,L10121,L,298.01,309.42,1593,54.1,98,0,No Failure
123,M10122,H,300.74,312.59,1229,22.76,24,0,No Failure
124,H10123,M,298.86,307.31,1635,45.77,34,1,Power Failure
125,H10124,L,297.54,308.07,2108,45.53,243,1,Tool Wear Failure
126,H10125,M,298.64,310.63,1609,29.11,13,0,No Failure
127,M10126,H,295.12,307.07,1532,35.05,178,0,No Failure
128,M10127,M,296.81,307.22,2190,40.62,236,1,Tool Wear Failure
129,M10128,H,298.96,307.47,1844,22.16,32,0,No Failure
130,L10129,H,296.74,307.07,1566,26.74,181,0,No Failure
131,L10130,M,298.71,306.72,1302,27.38,76,0,No Failure
132,H10131,M,297.57,306.37,1988,37.07,59,0,No Failure
133,H10132,H,295.81,307.64,1908,53.63,213,1,Tool Wear Failure
134,L10133,H,296.79,306.11,2122,57.41,227,1,Tool Wear Failure
135,L10134,H,298.42,308.97,1417,27.33,87,0,No Failure
136,L10135,M,298.55,307.67,1315,53.84,158,0,No Failure
137,H10136,H,298.45,310.24,1924,50.18,44,0,No Failure
138,L10137,L,298.92,309.83,1403,60.08,197,1,Power Failure
139,L10138,L,298.91,308.23,1376,63.6,220,1,Overstrain Failure
140,H10139,M,297.59,308.76,1520,25.6,80,0,No Failure
141,L10140,H,300.38,308.81,2017,23.63,163,0,No Failure
142,L10141,M,297.21,306.77,1740,55.99,219,1,Tool Wear Failure
143,M10142,L,297.62,306.5,1246,27.3,4,1,Overstrain Failure
144,L10143,L,300.35,311.09,1664,28.76,214,1,Tool Wear Failure
